StudentID,essay,grade,
2011810,반대측 입장으로 참여하였기 때문에 개인의 인권을 판단의 기준으로 삼아야 한다. 그 이유는 성범죄 피의자의 신상정보공개를 허용하지 말아야 한다는 것이므로 피의자의 인권을 존중하는 의미에서 정보공개를 해서는 안된다는 입장이기 때문이다. 피의자는 수사과정 단계에서 범죄자로 단정하지 않고 무죄로 보는 것을 원칙으로 하며 그렇기에 아직 범죄좌로 확정되지 않은 피의자의 신상정보공개는 일반 국민의 인권 침해와 같다고 볼 수 있습니다. 오판의 가능성을 완전히 배제할 수 없는 상황에서 무고한 사람을 범죄자로 만들 수 있는 큰 문제점도 가지고 있습니다. 또한 신상정보로 공개되는 내용이 개인의 자유와 비밀을 침해할 수 있는 주요한 정보들로 구성되어 있기 때문에 피의자가 후에 범죄자로 인정된다고 하더라도 피의자의 신상정보공개는 성범죄자의 재사회화를 막는 인권 침해에 해당합니다. 피의자의 인권또한 나라에서 무시할 수 없는 한 국민의 인권과 같습니다. 따라서 한 국민의 인권이 국민의 알 권리보다 덜 중요하다고 할 수 없기에 피의자의 인권을 침해하는 피의자 신상정보공개는 해서는 안됩니다.,5,
2014693,"내가 생각하는 판단의 기준은 범행동기와 그 배경이 판단의 기준이 되어야 한다고 생각한다. 아무리 억울한 이유라도 살인을 하여 상대방의 인권을 짓밟아 버릴 수는 없는 노릇이지만, 내가 생각하는 것은 결과보다는 과정, 그리고 목적이라는 것이다. 물론 범죄자에게 서사를 부여할 수는 없지만 피의자의 입장이라면 개인의 인권도 중시할 수 있을뿐더러 그 전체적인 내용을 국민들에게 제공해준다면 국민의 알권리 또한 어느정도 해소될 것이라고 생각한다. 현재 강력범죄 피의자 신상공개의 판단기준은 범행수단의 잔인성이라는 표현과 피해의 중대성이라는 표현을 사용하여 객관적인 기준을 마땅히 제시하기가 어렵다. 이는 여러 윤리적이나 종교적인 배경에 따라서 여러 가지의 판단을 야기할 수 있기 때문에 법집행자의 자의적인 판단이 개입될 여지가 높다. 또한 피지의가 그 죄를 범하였다고 믿을만한 충분한 증거가 있을 것이라는 요건역시 매우 포괄적이고 추상적인 기준이라고 할 수 있다. 이 전체적인 판단은 사람마다의 가치관, 윤리관에 따라 크게 달라질 수밖에 없고 건전한 상식과 통상적인 법감정을 가진 일반인에게 있어서 공통적으로 공익으로 인식될 수 있는 이익이 존재하는 것은 의문의 여지가 없지만 판단주체에 따라서도 공익인지의 여부를 다르게 판단할 가능성이 있기 때문에 현행법은 그 판단기준으로서 적절하지 못하다는 것을 주장하며 강력범죄 피의자 신상공개 제도에 대해서 반대한다.",8,
2010173," ‘국민의 알권리’와 ‘개인의 인권’, 둘 중 어느 것이 더 중요한가를 기준으로 삼아야 한다. 개인의 인권은 헌법에도 명시되어 있는 내용이므로 원칙적으로는 침해해서는 안 되기 때문이다. 그렇기 때문에, 국민의 알권리가 과연 개인의 인권을 침해하면서까지 보장 받을 만큼 중요한 것인지를 따져봐야 한다.  저희는 피의자 개인의 인권보다 국민의 알권리가 중요한다는 것에 반대합니다. 피의자라는 것은 아직 죄가 확정되지 않은 사람을 의미합니다. 따라서 아직 죄가 확정되지 않은 피의자의 신상공개를 한다는 것은 이미 그 피의자가의 죄가 확정되었다는 인상을 국민들에게 줄 수 있으므로 이는 ‘무죄추정의 원칙’에 위배됩니다. 만약 이미 신상을 공개한 피의자가 최종적으로는 무죄임이 입증된다면 새로운 피해자를 낳는 결과로 이어질 수 있습니다. 또한 피의자의 신상을 공개하는 것은 피의자 개인의 인권침해에 해당할 수 있습니다. 개인의 인권의 보장은 헌법에도 명시되어있는 내용입니다. 저희는 피의자를 신상공개를 하면서까지 국민의 알권리를 보장하여 얻는 이득이 헌법에 명시되어있는 개인의 인권이 보장될 권리를 무시하여 얻을 만큼 크다고 생각하지 않습니다. 따라서 저희는 성범죄자 피의자의 신상공개 허용에 반대합니다. ",13,
2014450,"‘성범죄자 피의자 신상공개, 허용해야 한다’라는 논제에서 국민의 알 권리와 개인의 인권이 대립할 경우, 허용 여부에 따른 양측의 직접적인 피해 여부를 판단의 기준으로 삼아야 한다. 성범죄 피의자 신상 공개를 허용하는 정책이 국민과 개인에게 어떠한 영향을 끼치는지, 누구에게 악영향을 끼치는지가 매우 중요하기 때문이다. 먼저, 피의자는 본인의 신상을 공개함으로써 재사회화의 기회를 빼앗기며, 그의 가족 또한 아무 잘못 없이 차별받는 피해를 초래하게 된다. 그러나, 국민은 피의자의 신상을 공개하지 않을 시, 받는 피해가 없으며 신상을 공개했을 때 범죄를 예방할 수 있는 득을 얻는 입장이다. 즉, 피의자의 신상을 공개하지 않았을 시 피해를 받는 이는 없지만, 공개를 했을 시 피해를 받는 이가 있으므로 성범죄자 피의자 신상 공개를 허용하면 문제가 발생한다.  성범죄자 피의자 신상공개를 허용할 시 피해자가 발생하지만, 허용하지 않을시 피해자는 발생하지 않습니다. 허용하게 되면, 피의자는 재사회화의 기회를 빼앗기게 되며 인권을 침해받습니다. 특정 강력범죄의 처벌에 대한 특례법에 의하면 피의자가 청소년 보호법 제 2조 1호 청소년일 경우 해당하지 아니한다고 합니다. 그 이유는 처벌이 아닌 교정을 목적으로 하는 범죄자의 개선 가능성을 존중해야 하기 때문입니다. 이 개선 가능성은 성인에게도 해당되며, 범죄자는 본인의 죄에 대한 책임을 다하여 반성하고 재사회화할 기회가 주어져야 합니다. 그러나, 만약 신상을 공개한다면 그 가능성에 한계가 생기므로 피해를 입습니다. 또한, 신상 공개를 하지 않는다면 국민들이 범죄를 예방할 수 있는 기회를 빼앗기는 피해를 입는다는 것은 모순됩니다. 피의자의 신상을 공개한다고 해서 범죄로부터 안정할 수 있지 않기 때문입니다. 범죄는 우발적일수도, 계획적일수도 있습니다. 우발적인 경우, 미리 안다고 해서 예방할 수 없으며, 계획적일 경우, 치밀한 범죄자의 계획의 표적에 벗어나기 힘들기 때문입니다. 오히려, 신상 공개하는 것 보다는 범죄자의 표적이 된 이유, 범죄를 저지른 ",13,
2010692,"성범죄 피의자의 신상공개로 얻을 수 있는 효과가 기준이 되어야 한다. 얻을 수 있는 효과가 없다면 이러한 신상공개는 이루어질 필요가 없기 때문이다. 개인의 인권보다 국민의 알권리를 우선시하여 성범죄 피의자의 신상공개가 되었을 경우 성범죄 피해자는 사회에서 매도당할 것입니다. 신상공개가 된다면 주변에서는 색안경을 끼고 볼 것이며, 취업에서도 불이익을 받을 수 있습니다. 이로 인하여 성범죄 피의자가 사회에 발을 붙이지 못 하여 성범죄의 재범률이 높아진다면, 성범죄 피의자 신상공개가 크게 효과가 없다는 것을 알 수 있습니다. 또한, 미국에서는 성범죄자의 신상공개 이후 오히려 범죄율이 더 높아졌다고 합니다. 성범죄의 재범률은 제도적인 개선을 통해 피의자의 이미지 재고와 재사회화가 이루어질 수는 있으나, 사회 일각에서 피의자에게 내던지는 시선은 변하지 않을 것이라고 생각합니다. 그리고 피의자의 가족들은 죄가 없음에도 평생 피의자의 가족이라는 꼬리표를 달고 다닐 것입니다. 이것은 또 다른 개인의 인권을 침해하는 것입니다.",13,
2016939,"국민의 알권리와 개인의 인권이 대립할 경우, ‘공익성’을 기준으로 삼고 주장을 펼쳐야 한다. 과연 ‘범죄예방에 도움이 되는 공익성’을 기반으로 두고 있는 신상공개제도에서 그 공익성이 실제로 실효성이 큰지에 대해 따져보아야 될 것이다. 예컨대 국민의 알권리의 대상이 되는 정보는 대체로 주권자인 국민이 국정을 판단하는 데 필요한 정보, 국민이 사회인으로서 안전하고 건강하게 문화적인 현대 생활을 영위하기 위해 필요한 정보, 국민이 인격상 자기 달성을 위해 필요한 정보를 총괄하는 것을 말한다. 하지만 국정을 판단하는데 필요한 정보는 피의자의 신상공개가 아닌 피의자의 범죄사실과 행위에 초점을 맞춰야 되고, 국민이 사회인으로서 안전하고 건강하게 현대 생활을 영위하기 위해 필요한 정보라고 보았을 때 이미 피의자는 피의자로서 경찰조사를 받고 있으며 체포된 경우가 대부분이기 때문이다. 따라서 얼굴을 공개한다고 해서 공익에 도움이 되지 않으며 신상공개를 함으로서 국민의 알권리를 전면적으로 충족시킨다고 보기 어렵다. 반대측의 반론으로는 피의자는 이미 체포된 경우이고 경찰이 예의주시하고 있는 인물인데, 신상정보를 공개한다고 해서 공익에는 실질적으로 도움이 되지 않으며 따라서 국민의 알권리를 전면적으로 충족시킨다고 보기에는 어렵다.",15,
2010505,"만약 본인이 반대측 입장으로 참여하게 되었다고 가정한다면, 개인의 인권을 기준으로 토론을 진행해야 한다. 이 논제의 최대 쟁점은 국민의 알권리와 개인의 인권 중 어떤 것을 우위에 둘 것인지가 대립된다는 것이다. 국민의 알권리를 우선시한다면 피의자 신상공개를 허용하는 것이 좋다고 생각이 들 수 있다. 피의자들의 인권보다는 범죄로부터 안전을 보장받을 수 있도록 개인의 알권리가 중요하다는 뜻이다. 만약 개인의 인권을 우선시하게 된다면 피의자의 신상공개는 지양하는 것이 좋다는 입장을 가질 수 있다. 무죄인지 유죄인지 판결이 나오기도 전에 피의자의 신상을 공개해버린다면 이미 그 사람은 사회에서 범죄자로 낙인찍히고, 사회에서의 재출발을 시작하는 것이 어려워진다. 반대측 반론 시작하겠습니다. 특정 강력 범죄자 특례법이 재정된 이래로 신상 공개의 가능성이 열리게 되었습니다. 그런데 과연 이것이 효과적인지에 대해서는 한번 더 생각을 해보아야할 것 같습니다. 앞서 피의자 신상공개가 범죄예방에 효과적이라고 말씀해주셨는데, 미국의 경우 오히려 신상공개를 시행한 주에서 재범률이 더 높게 측정이 되었습니다. 2010년 강력범죄 피의자 신상공개 이후 강력범죄의 발생 정도 및 빈도가 줄어들고 있지 않습니다. 따라서 이러한 제도는 범죄 발생을 낮춘다는 예방적 효과보다는 형벌적 성격이 강하다는 성향이 있습니다. 예방적 효과가 미미하다면 신상공개를 시행하는 것은 올바르지 못한 방법이며, 피의자의 인권 침해 및 재사회화를 막게됩니다. 또한 신상공개의 절차상의 문제 또한 우려됩니다. 신상공개는 위원회를 통해 공개여부가 결정되는데 그 위원들은 매 사건마다 다르게 구성됩니다. 경찰, 의사, 변호사 등 다양한 인사",13,
1914033,"국민의 알권리과 개인의 인권의 대립은 기본권의 제한 조건이 쟁점이다. 왜냐하면 국민의 알권리가 만족 되면 피의자의 인권이 제한되고, 피의자의 인권이 보호되면 국민의 알권리가 침해되기 때문에 두 권리는 동시에 만족 되기 힘들기 때문이다. 개인의 기본권을 제한하기 위해서는 기본권이 침해되었을 때 발생하는 공공의 이익이 그렇지 않았을 때보다 더 커야한다. 따라서 기본권의 제한 조건을 기준으로 위 논제를 따져보았을 때 피의자 신상공개법의 기대효과, 그 법의 구체적 시행방안, 피의자 신상이 국민의 알권리에 포함되는지 여부 측면에서 <성범죄 피의자 신상공개, 허용해야 한다>에 반대를 주장할 수 있다. 우선 피의자 신상공개는 그 기대효과가 크지 않다는 점에서 기본권 제한 조건을 충족하지 못하고 있다. 한국정책연구원의 자료에 따르면 2000년 신상공개 전보다 2011년 신상공개를 한 후에 재범률이 늘었다는 점에서 피의자 신상공개를 통해 기대했던 범죄예방효과가 크지 않다는 것을 알 수 있다. 둘째로, 피의자 신상공개 관련 법이 통과되어도 신상공개를 판단하는 기준이 명확하지 않기 때문에 법이 시행되는 과정에서 문제가 발생할 수 있다. 각 지방청 단위로 개최되는 신상공개위원회는 경찰 위원 3명, 외부 위원 4명으로 구성된다. 외부 위원의 경우 사건마다 다르게 구성되기 때문에 판단의 연속성이 결여되어 신상공개 결정이 객관적으로 이루어지지 않을 가능성이 높다. 마지막으로 국민의 알권리에 범죄자의 신상이 포함되지 않는다고 할 수 있으므로 국민의 알권리가 침해된다고 볼 수 없다. 국민의 알권리라는 것은 국가가 가진 정보를 부당하게 숨기지 않기 위한 것이며 언론의 자유를 보장하기 위한 것이",15,
1914386," ‘반대’ 측 입장에서는 ‘개인의 인권’을 판단 기준으로 삼아야 한다. 왜냐하면 피의자 신상 공개는 무죄추정의 원칙을 위배하기 때문이다. 무죄 추정의 원칙은 우리나라 헌법, UN 인권선언 등에서 명시하고 있다. 뿐만 아니라 언론 노출로 인한 ‘신상털이’ 등의 피해를 받기 때문이다. 이는 피의자의 인권을 과도하게 침해한다.  반대 측 반론을 구성하기 위해서는 찬성 측의 주요 논거를 예상해야 한다. 찬성 측에서는 성범죄 피의자 신상공개를 통해 범죄 예방, 재범 방지 효과가 있으며, 국민의 알 권리를 실현할 수 있다고 주장할 것이다. 또한 피의자의 인권보다는 국민의 알 권리, 범죄 예방, 재범 방지 등의 공익이 우선시되어야 한다고 주장할 것이다.  찬성 측의 논거를 바탕으로 반대 측에서는 다음과 같이 반론을 구성할 수 있다.  첫째, 찬성 측의 주장(신상공개 허용)과 근거(재범 방지) 간의 연결고리는 타당하지 않다고 주장해야 한다. 현재 신상공개로 재범률이 감소했다는 통계 자료는 존재하지 않기 때문이다.  둘째, 찬성 측의 주장을 받아들여 신상공개가 허용될 경우 발생할 폐해가 심각하다는 것을 이야기해야 한다. 신상공개로 인해 언론과 누리꾼의 ‘신상 털이’가 발생한다. 또한 만약 피의자가 무죄임이 입증된다고 해도, 언론에 한 번 노출되면 이를 삭제하는 것은 사실상 불가능하다. 따라서 피의자의 인권이 과도하게 침해된다고 할 수 있다.",13,
1610865,"저는 무죄추정의 원칙을 기준으로 삼아 개인의 인권이 침해되어서는 안된다고 생각합니다. 무죄추정의 원칙은 헌법 제27조에 따라서 형사피고인은 유죄의 판결이 확정될 때까지는 무죄로 추정된다는 원칙입니다. 성범죄 피의자는 아직 형이 확정된 상태가 아니기 떄문에 신상 공개를 하여 범죄자로 낙인찍는 것은 무죄추정의 원칙에 반하는 것입니다. 성범죄자 피의자의 신상공개를 하게 되면 국민의 알권리를 과도하게 남용하여 신상 공개된 피의자에 대한 신상 털기 등이 일어나 아직 형이 확정되지도 않은 피의자의 인권이 침해됩니다. 피의자는 취업은 물론이고 지역사회에서 소외되게 될 것입니다. 또한, 가해자의 가족 등 죄 없는 사람들의 2차 피해가 발생하기도 합니다. 실제로 2013년 신원이 공개된 성범죄자의 아들이 자살하게 되는 사건도 있었습니다. 헌법 제12조 3항에는 ‘모든 국민은 자기의 행위가 아닌 친족의 행위로 인하여 불이익한 처우를 받지 아니한다’라는 조항이 있습니다. 성범죄자 신상공개는 피의자 뿐만이아니라 피의자 가족의 인권까지 침해할 우려가 있습니다. 신상공개에 대한 대안으로는 전자발찌 위치추적시스템으로 재범 의지를 감소시키거나, 심리 치료 프로그램, 성범죄 교육 등을 통해 성에 대한 잘못된 생각을 바로잡게 도와주어 신상공개를 하지 않더라도 성범죄율을 줄일 수 있다고 생각합니다. ",8,
2013420,"개인의 인권과 대립된 형태로 빚어져있는 국민의 알권리의 영향력을 기준으로 삼아야하며, 이는, 국민의 알권리는 개인의 인권과는 다르게 어떠한 요소만이 확립되어 있을 때 발동하는 권리이기 때문이다.  반대 측 반론 시작하겠습니다. 찬성 측에서는 성범죄 피의자의 신상공개는 국민의 알권리에 해당이 되는 내용으로, 국민들에게 당연히 보여야하는 대목이라고 표현하셨는데 정말 그러한가요? 피의자의 신상권리는 국민의 알권리에 해당하지 않습니다. 국민의 알권리에는 공공과 관련한 사안과, 공적 기관에서 보유한 공적 정보라는 사항이 붙습니다. 이러한 요점들과 아무런 관계성이 없는 피의자의 신상 권리를 국민들에게 공개하게 된다면, 이것은 오히려, 개인의 인권을 침해하는 문제로 뿌리를 내릴 뿐입니다.",10,
2010398,"국민의 알 권리를 보장하여 얻는 이익이 더 크다고 하더라도 개인이 입는 피해가 기준이 되어야 한다. 일반적인 경우, 한 사람의 신상이 공개된다면 그의 가족뿐만 아니라 친구 등의 지인들은 사회적으로 따가운 시선을 받을 것이다. 만약 범죄 피의자의 신상공개를 예로 든다면, 피의자는 범죄혐의는 있지만, 죄가 확정되지 않았을뿐더러 그 가족들까지 인터넷을 통해 욕을 먹는 경우가 빈번하게 발생할 것이다. 또한, 피의자가 다시 사회로 나왔을 경우 무죄판결을 받았다 하더라도 사회적인 시선은 곱지 않을 것이며, 이에 대한 사회적 보장 역시 존재하지 않는다. 따라서 개인뿐만 아니라 무고한 사람들의 인권을 침해하면서까지 국민의 알 권리를 보장하는 것은 옳지 않다.  국민의 알 권리를 보장하면 얻는 이익이 손해보다 크다는 것은 일부 동의합니다. 하지만 성범죄 피의자가 신상공개되면 피의자의 가족들과 지인들 역시 사회적으로 피해를 받습니다. 또한, 피의자가 무죄판결 또는 석방후에 사회로 돌아왔을 때 다시 사회생활을 할 수 없게 됩니다. 즉, 한 사람의 신상공개로 한 명에서 몇백 명까지도 피해를 볼 수 있는 상황입니다. 하지만 이에 대한 사회적 대책이 존재하지 않는데도 국민의 알 권리를 위해 소수의 인권을 침해하는 문제가 존재하기 때문에 성범죄 피의자의 신상공개는 허용되어서는 안됩니다.",13,
